# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x696DD000  0x00000800  -
0x696DD800  0x00000800  +
0x696DE000  0x00000800  -
0x696DE800  0x00000800  +
0x696DF000  0x00000800  -
0x696DF800  0x00010800  +
0x696F0000  0x00000800  -
0x696F0800  0x00000800  +
0x696F1000  0x00000800  -
0x696F1800  0x00000800  +
0x696F2000  0x00000800  -
0x696F2800  0x00000800  +
0x696F3000  0x00000800  -
0x696F3800  0x00000800  +
0x696F4000  0x00000800  -
0x696F4800  0x00000800  +
0x696F5000  0x00000800  -
0x696F5800  0x00000800  +
0x696F6000  0x00000800  -
0x696F6800  0x00000800  +
0x696F7000  0x00000800  -
0x696F7800  0x00041000  +
0x69738800  0x00000800  -
0x69739000  0x00000800  +
0x69739800  0x00000800  -
0x6973A000  0x00000800  +
0x6973A800  0x00000800  -
0x6973B000  0x00000800  +
0x6973B800  0x00000800  -
0x6973C000  0x00000800  +
0x6973C800  0x00000800  -
0x6973D000  0x00000800  +
0x6973D800  0x00000800  -
0x6973E000  0x00000800  +
0x6973E800  0x00000800  -
0x6973F000  0x00000800  +
0x6973F800  0x00000800  -
0x69740000  0x00010800  +
0x69750800  0x00000800  -
0x69751000  0x00000800  +
0x69751800  0x00000800  -
0x69752000  0x00000800  +
0x69752800  0x00000800  -
0x69753000  0x00000800  +
0x69753800  0x00000800  -
0x69754000  0x00000800  +
0x69754800  0x00000800  -
0x69755000  0x00000800  +
0x69755800  0x00000800  -
0x69756000  0x00000800  +
0x69756800  0x00000800  -
0x69757000  0x00000800  +
0x69757800  0x00000800  -
0x69758000  0x00020800  +
0x69778800  0x00000800  -
0x69779000  0x00000800  +
0x69779800  0x00000800  -
0x6977A000  0x00000800  +
0x6977A800  0x00000800  -
0x6977B000  0x00000800  +
